X,Y
-100,0.69
-99,0.73
-98,0.76
-97,0.80
-96,0.84
-95,0.89
-94,0.93
-93,0.98
-92,01.03
-91,01.08
-90,1.13
-89,1.19
-88,1.25
-87,1.31
-86,1.38
-85,1.45
-84,1.52
-83,1.60
-82,1.68
-81,1.76
-80,1.85
-79,1.94
-78,02.04
-77,2.14
-76,2.24
-75,2.36
-74,2.47
-73,2.59
-72,2.72
-71,2.86
-70,3.00
-69,3.15
-68,3.30
-67,3.46
-66,3.63
-65,3.81
-64,4.00
-63,4.19
-62,4.40
-61,4.61
-60,4.83
-59,05.07
-58,5.31
-57,5.57
-56,5.84
-55,6.11
-54,6.41
-53,6.71
-52,07.03
-51,7.36
-50,7.70
-49,08.07
-48,8.44
-47,8.83
-46,9.24
-45,9.67
-44,10.11
-43,10.57
-42,11.05
-41,11.55
-40,12.06
-39,12.60
-38,13.16
-37,13.73
-36,14.33
-35,14.95
-34,15.60
-33,16.26
-32,16.95
-31,17.66
-30,18.39
-29,19.15
-28,19.93
-27,20.74
-26,21.56
-25,22.42
-24,23.29
-23,24.19
-22,25.11
-21,26.06
-20,27.03
-19,28.02
-18,29.03
-17,30.06
-16,31.12
-15,32.19
-14,33.29
-13,34.40
-12,35.53
-11,36.67
-10,37.83
-9,39.01
-8,40.20
-7,41.40
-6,42.61
-5,43.82
-4,45.05
-3,46.28
-2,47.52
-1,48.76
0,50.00
1,51.24
2,52.48
3,53.72
4,54.95
5,56.18
6,57.39
7,58.60
8,59.80
9,60.99
10,62.17
11,63.33
12,64.47
13,65.60
14,66.71
15,67.81
16,68.88
17,69.94
18,70.97
19,71.98
20,72.97
21,73.94
22,74.89
23,75.81
24,76.71
25,77.58
26,78.44
27,79.26
28,80.07
29,80.85
30,81.61
31,82.34
32,83.05
33,83.74
34,84.40
35,85.05
36,85.67
37,86.27
38,86.84
39,87.40
40,87.94
41,88.45
42,88.95
43,89.43
44,89.89
45,90.33
46,90.76
47,91.17
48,91.56
49,91.93
50,92.30
51,92.64
52,92.97
53,93.29
54,93.59
55,93.89
56,94.16
57,94.43
58,94.69
59,94.93
60,95.17
61,95.39
62,95.60
63,95.81
64,96.00
65,96.19
66,96.37
67,96.54
68,96.70
69,96.85
70,97.00
71,97.14
72,97.28
73,97.41
74,97.53
75,97.64
76,97.76
77,97.86
78,97.96
79,98.06
80,98.15
81,98.24
82,98.32
83,98.40
84,98.48
85,98.55
86,98.62
87,98.69
88,98.75
89,98.81
90,98.87
91,98.92
92,98.97
93,99.02
94,99.07
95,99.11
96,99.16
97,99.20
98,99.24
99,99.27
100,99.31
