X,Y
-100,-520099.00
-99,-504849.50
-98,-489901.00
-97,-475250.50
-96,-460895.00
-95,-446831.50
-94,-433057.00
-93,-419568.50
-92,-406363.00
-91,-393437.50
-90,-380789.00
-89,-368414.50
-88,-356311.00
-87,-344475.50
-86,-332905.00
-85,-321596.50
-84,-310547.00
-83,-299753.50
-82,-289213.00
-81,-278922.50
-80,-268879.00
-79,-259079.50
-78,-249521.00
-77,-240200.50
-76,-231115.00
-75,-222261.50
-74,-213637.00
-73,-205238.50
-72,-197063.00
-71,-189107.50
-70,-181369.00
-69,-173844.50
-68,-166531.00
-67,-159425.50
-66,-152525.00
-65,-145826.50
-64,-139327.00
-63,-133023.50
-62,-126913.00
-61,-120992.50
-60,-115259.00
-59,-109709.50
-58,-104341.00
-57,-99150.50
-56,-94135.00
-55,-89291.50
-54,-84617.00
-53,-80108.50
-52,-75763.00
-51,-71577.50
-50,-67549.00
-49,-63674.50
-48,-59951.00
-47,-56375.50
-46,-52945.00
-45,-49656.50
-44,-46507.00
-43,-43493.50
-42,-40613.00
-41,-37862.50
-40,-35239.00
-39,-32739.50
-38,-30361.00
-37,-28100.50
-36,-25955.00
-35,-23921.50
-34,-21997.00
-33,-20178.50
-32,-18463.00
-31,-16847.50
-30,-15329.00
-29,-13904.50
-28,-12571.00
-27,-11325.50
-26,-10165.00
-25,-9086.50
-24,-8087.00
-23,-7163.50
-22,-6313.00
-21,-5532.50
-20,-4819.00
-19,-4169.50
-18,-3581.00
-17,-3050.50
-16,-2575.00
-15,-2151.50
-14,-1777.00
-13,-1448.50
-12,-1163.00
-11,-917.50
-10,-709.00
-9,-534.50
-8,-391.00
-7,-275.50
-6,-185.00
-5,-116.50
-4,-67.00
-3,-33.50
-2,-13.00
-1,-2.50
0,1.00
1,0.50
2,-1.00
3,-0.50
4,5.00
5,18.50
6,43.00
7,81.50
8,137.00
9,212.50
10,311.00
11,435.50
12,589.00
13,774.50
14,995.00
15,1253.50
16,1553.00
17,1896.50
18,2287.00
19,2727.50
20,3221.00
21,3770.50
22,4379.00
23,5049.50
24,5785.00
25,6588.50
26,7463.00
27,8411.50
28,9437.00
29,10542.50
30,11731.00
31,13005.50
32,14369.00
33,15824.50
34,17375.00
35,19023.50
36,20773.00
37,22626.50
38,24587.00
39,26657.50
40,28841.00
41,31140.50
42,33559.00
43,36099.50
44,38765.00
45,41558.50
46,44483.00
47,47541.50
48,50737.00
49,54072.50
50,57551.00
51,61175.50
52,64949.00
53,68874.50
54,72955.00
55,77193.50
56,81593.00
57,86156.50
58,90887.00
59,95787.50
60,100861.00
61,106110.50
62,111539.00
63,117149.50
64,122945.00
65,128928.50
66,135103.00
67,141471.50
68,148037.00
69,154802.50
70,161771.00
71,168945.50
72,176329.00
73,183924.50
74,191735.00
75,199763.50
76,208013.00
77,216486.50
78,225187.00
79,234117.50
80,243281.00
81,252680.50
82,262319.00
83,272199.50
84,282325.00
85,292698.50
86,303323.00
87,314201.50
88,325337.00
89,336732.50
90,348391.00
91,360315.50
92,372509.00
93,384974.50
94,397715.00
95,410733.50
96,424033.00
97,437616.50
98,451487.00
99,465647.50
100,480101.00
