Temperature,Humidity,"PM2,5",PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.80,59.10,5.20,17.90,18.90,9.20,1.72,6.30,319.00,1
28.30,75.60,2.30,12.20,30.80,9.70,1.64,6.00,611.00,1
23.10,74.70,26.70,33.80,24.40,12.60,1.63,5.20,619.00,1
27.10,39.10,6.10,6.30,13.50,5.30,1.15,11.10,551.00,0
26.50,70.70,6.90,16.00,21.90,5.60,1.01,12.70,303.00,0
39.40,96.60,14.60,35.50,42.90,17.90,1.82,3.10,674.00,3
41.70,82.50,1.70,15.80,31.10,12.70,1.80,4.60,735.00,2
31.00,59.60,5.00,16.80,24.20,13.60,1.38,6.30,443.00,1
29.40,93.80,10.30,22.70,45.10,11.80,2.03,5.40,486.00,2
33.20,80.50,11.10,24.40,32.00,15.30,1.69,4.90,535.00,2
26.30,65.70,1.30,5.50,18.30,5.90,0.85,13.00,529.00,0
32.50,51.20,1.60,10.50,21.60,19.30,1.53,5.90,519.00,1
20.00,53.30,3.70,12.90,26.10,6.60,1.09,10.20,538.00,0
28.60,53.70,28.90,34.00,23.20,4.50,1.02,11.00,508.00,0
22.30,80.50,4.50,12.00,17.20,6.30,1.18,10.40,232.00,0
32.00,78.90,22.40,29.90,27.50,11.80,1.48,7.90,444.00,1
22.90,75.40,4.50,10.40,18.40,3.70,0.96,14.40,359.00,0
37.60,81.20,28.10,56.60,46.70,13.70,1.85,4.10,560.00,2
34.70,59.30,9.00,15.70,28.50,7.10,1.52,6.10,437.00,1
37.80,97.20,0.60,24.60,37.10,11.70,1.13,7.70,803.00,2
27.60,44.10,3.50,14.40,30.70,9.40,0.97,8.00,338.00,1
27.60,77.50,3.80,10.90,9.10,1.70,1.04,14.40,520.00,0
25.60,58.30,0.40,-0.20,25.30,4.50,0.98,10.00,536.00,0
24.60,48.40,8.30,15.40,23.30,4.60,1.03,11.20,461.00,0
26.20,49.90,0.50,2.00,22.90,2.30,0.94,17.90,581.00,0
22.60,62.10,16.40,21.30,17.60,4.80,0.93,11.50,324.00,0
30.00,69.20,2.00,3.90,15.30,5.20,1.09,10.10,297.00,0
37.60,72.20,10.10,16.60,32.20,6.30,1.85,3.50,637.00,2
29.60,65.60,3.40,9.30,20.60,2.90,1.03,10.20,452.00,0
52.50,83.90,67.50,91.20,31.60,34.60,2.31,2.90,785.00,3
44.70,97.90,34.60,57.30,28.10,22.60,1.78,3.50,562.00,3
23.30,45.20,24.00,29.00,26.60,5.30,0.96,10.90,575.00,0
35.40,100.20,20.50,33.20,34.40,11.70,1.85,5.10,440.00,2
29.70,85.80,84.40,94.40,26.70,19.80,1.55,10.00,744.00,2
21.80,79.60,7.10,16.80,14.50,6.00,0.91,10.80,455.00,0
27.70,86.10,83.30,93.50,25.30,6.80,1.71,7.40,594.00,1
27.50,78.90,30.20,34.10,15.30,3.00,0.98,11.10,472.00,0
28.00,72.20,18.50,25.00,24.90,6.10,1.32,13.20,480.00,0
22.20,50.00,2.30,8.40,23.50,3.70,0.96,10.20,547.00,0
33.30,70.10,55.10,72.70,40.50,30.70,2.12,4.90,612.00,3
37.50,83.70,3.10,2.20,39.50,29.20,2.61,2.50,898.00,3
30.90,94.40,48.30,67.10,31.40,23.30,1.75,4.30,779.00,2
